#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Canonicalform|Canonical
#T_SP=webanno.custom.Category|Category
#T_SP=webanno.custom.Definitionelement|Def_element
#T_SP=webanno.custom.Relation|Relation
#T_SP=webanno.custom.Relation_definitor|Rel_verb_frame


#Text=Udornice so površinske kraške oblike, ki nastanejo s podiranjem stropa v podzemnih jamah z aktivnim vodnim tokom, ko se zniža gladina podzemne vode (Stepišnik, 2006).
1-1	0-8	Udornice	_	A.1 Surface landform	DEFINIENDUM	_	_	
1-2	9-11	so	_	_	DEFINITOR	_	_	
1-3	12-22	površinske	_	_	GENUS[20]	HAS\_LOCATION	_	
1-4	23-29	kraške	_	_	GENUS[20]	_	_	
1-5	30-36	oblike	_	_	GENUS[20]	_	_	
1-6	36-37	,	_	_	_	_	_	
1-7	38-40	ki	_	_	_	_	_	
1-8	41-50	nastanejo	_	_	_	HAS\_CAUSE[35]	frame\_CAUSE[58]	
1-9	51-52	s	_	_	_	HAS\_CAUSE[35]	frame\_CAUSE[58]	
1-10	53-63	podiranjem	_	B.1 Movement	_	HAS\_CAUSE[35]	_	
1-11	64-70	stropa	_	_	_	HAS\_CAUSE[35]	_	
1-12	71-72	v	_	_	_	HAS\_LOCATION[36]	frame\_LOCATION	
1-13	73-82	podzemnih	_	_	_	HAS\_LOCATION[36]	_	
1-14	83-88	jamah	_	A.2 Underground landform	_	HAS\_LOCATION[36]	_	
1-15	89-90	z	_	_	_	HAS\_LOCATION[36]	_	
1-16	91-99	aktivnim	_	_	_	HAS\_LOCATION[36]	_	
1-17	100-106	vodnim	_	_	_	HAS\_LOCATION[36]	_	
1-18	107-112	tokom	_	_	_	HAS\_LOCATION[36]	_	
1-19	112-113	,	_	_	_	_	_	
1-20	114-116	ko	_	_	_	_	_	
1-21	117-119	se	_	_	_	OCCURS\_IN\_TIME[37]	frame\_TIME[59]	
1-22	120-125	zniža	_	_	_	OCCURS\_IN\_TIME[37]	frame\_TIME[59]	
1-23	126-133	gladina	_	_	_	OCCURS\_IN\_TIME[37]	_	
1-24	134-142	podzemne	_	_	_	OCCURS\_IN\_TIME[37]	_	
1-25	143-147	vode	_	_	_	OCCURS\_IN\_TIME[37]	_	
1-26	148-149	(	_	_	_	_	_	
1-27	149-158	Stepišnik	_	_	_	_	_	
1-28	158-159	,	_	_	_	_	_	
1-29	160-164	2006	_	_	_	_	_	
1-30	164-165	)	_	_	_	_	_	
1-31	165-166	.	_	_	_	_	_	

#Text=Udornice so kraške globeli , ki nastanejo z udori stropov nad podzemnimi votlinami.
2-1	168-176	Udornice	_	A.1 Surface landform	DEFINIENDUM	_	_	
2-2	177-179	so	_	_	DEFINITOR	_	_	
2-3	180-186	kraške	_	A.1 Surface landform[2]	GENUS[21]	_	_	
2-4	187-194	globeli	_	A.1 Surface landform[2]	GENUS[21]	_	_	
2-5	195-196	,	_	_	_	_	_	
2-6	197-199	ki	_	_	_	_	_	
2-7	200-209	nastanejo	_	_	_	HAS\_CAUSE[38]	frame\_CAUSE[60]	
2-8	210-211	z	_	_	_	HAS\_CAUSE[38]	frame\_CAUSE[60]	
2-9	212-217	udori	_	B.1 Movement	_	HAS\_CAUSE[38]	_	
2-10	218-225	stropov	_	_	_	HAS\_CAUSE[38]	_	
2-11	226-229	nad	_	_	_	HAS\_LOCATION[39]	frame\_LOCATION	
2-12	230-240	podzemnimi	_	_	_	HAS\_LOCATION[39]	_	
